,Zero-age Main Sequence (ZAMS),,,Terminal-age Main Sequence (TAMS),
"Initial Mass [Msun]","Time [yr]","log L [Lsun]","log Te [K]","Time [yr]","log L [Lsun]","log Te [K]"
0.8,7.48E+07,-0.591,3.688,2.15E+10,-0.207,3.715
0.9,4.49E+07,-0.356,3.724,1.34E+10,-0.009,3.741
1,4.49E+07,-0.138,3.754,8.50E+09,0.157,3.762
1.1,2.75E+07,0.064,3.779,5.46E+09,0.305,3.780
1.25,2.74E+07,0.295,3.804,4.22E+09,0.582,3.800
1.35,2.09E+07,0.460,3.824,3.14E+09,0.738,3.817
1.5,1.60E+07,0.674,3.856,2.24E+09,0.938,3.839
1.7,1.35E+07,0.914,3.910,1.65E+09,1.189,3.864
2,9.15E+06,1.209,3.973,1.02E+09,1.484,3.912
2.5,4.87E+06,1.596,4.049,5.42E+08,1.883,3.978
3,2.86E+06,1.899,4.104,3.23E+08,2.198,4.036
4,1.43E+06,2.365,4.186,1.53E+08,2.686,4.123
5,8.33E+05,2.713,4.247,8.90E+07,3.052,4.188
7,4.02E+05,3.220,4.332,4.21E+07,3.583,4.279
9,2.49E+05,3.584,4.392,2.65E+07,3.965,4.338
12,1.68E+05,3.977,4.456,1.55E+07,4.366,4.396
15,1.18E+05,4.266,4.501,1.11E+07,4.654,4.431
20,7.81E+04,4.615,4.553,7.82E+06,5.001,4.467
25,5.97E+04,4.866,4.589,6.37E+06,5.235,4.480
32,4.34E+04,5.125,4.623,5.25E+06,5.460,4.476
40,3.64E+04,5.343,4.650,4.48E+06,5.642,4.452
60,2.84E+04,5.703,4.689,3.56E+06,5.910,4.412
85,2.31E+04,5.980,4.713,3.05E+06,6.146,4.517
120,1.89E+04,6.231,4.730,2.69E+06,6.348,4.433
